model,seed,accuracy,f1_macro,precision_macro,recall_macro,best_epoch,best_val_f1_macro
attention_fusion,1337,0.7295597484276729,0.7252120091636188,0.7403813984610237,0.7274453941120608,7,0.7010827999838989
attention_fusion,2026,0.7169811320754716,0.713306887847097,0.7247023809523809,0.7150997150997151,8,0.7331081081081081
attention_fusion,42,0.6855345911949685,0.6852233132720937,0.6854787571337984,0.6851851851851851,8,0.7025197291992148
attention_fusion_mean,all,0.710691823899371,0.7079140700942698,,,,
attention_fusion_std,all,0.018515221941987098,0.01676476090420269,,,,
