model,seed,accuracy,f1_macro,precision_macro,recall_macro,best_epoch,best_val_f1_macro
contrastive_then_attention,1337,0.6855345911949685,0.6809791332263242,0.6928001330229465,0.6835232668566001,7,0.7199033037872684
contrastive_then_attention,2026,0.6792452830188679,0.6750811395600433,0.6852678571428572,0.6773504273504274,7,0.6756430382804008
contrastive_then_attention,42,0.6918238993710691,0.6910417575445136,0.6957463884430176,0.6930199430199431,3,0.6810400516795866
contrastive_then_attention_mean,all,0.6855345911949685,0.682367343443627,,,,
contrastive_then_attention_std,all,0.005135198622186955,0.006589419666764629,,,,
