week,variant,seed,accuracy,f1_macro,precision_macro,recall_macro,best_epoch,best_val_f1_macro,n_seeds
4,late_fusion,mean,0.6855345911949685,0.6820138414654983,0.6943009394348815,0.6849477682811016,,,3
4,late_fusion,std,0.013586458487228215,0.009613973670422491,0.02272135770588838,0.011761126378443301,,,3
4,unimodal_image,mean,0.6331236897274634,0.6289506556318079,0.6434650113261947,0.634931940487496,,,3
4,unimodal_image,std,0.03643217441715464,0.03586306819103838,0.04058007869465626,0.03676071084430521,,,3
4,unimodal_text,mean,0.710691823899371,0.7072689192330422,0.7195504959288371,0.7102722380500159,,,3
4,unimodal_text,std,0.02717291697445643,0.027927819669149465,0.024661627443527588,0.026130484072702766,,,3
5,attention_fusion,mean,0.710691823899371,0.7079140700942698,0.7168541788490677,0.7092434314656537,,,3
5,attention_fusion,std,0.018515221941987098,0.01676476090420269,0.02309070106294344,0.017742667182768346,,,3
6,contrastive_then_attention,mean,0.6855345911949685,0.682367343443627,0.6912714595362738,0.6846312124089903,,,3
6,contrastive_then_attention,std,0.005135198622186955,0.006589419666764629,0.004412296191610629,0.006444847442704138,,,3
